,YEAR,BOARDS,ALIGHTS
Itasca,1983,444,431
Itasca,1979,655,0
Ivanhoe,2018,520,514
Ivanhoe,2016,628,591
Ivanhoe,2014,697,663
Ivanhoe,2006,945,952
Ivanhoe,2002,1153,1084
Ivanhoe,1999,1201,1199
Ivanhoe,1997,1163,1123
Ivanhoe,1995,1197,1197
Ivanhoe,1993,1286,1306
Ivanhoe,1991,1213,1246
Ivanhoe,1989,1368,1330
Ivanhoe,1987,1365,1356
Ivanhoe,1985,1570,1708
Ivanhoe,1983,1529,1600
Ivanhoe,1979,1855,0
Jefferson Park,2018,510,688
Jefferson Park,2016,656,673
Jefferson Park,2014,599,675
Jefferson Park,2006,786,751
Jefferson Park,2002,749,742
Jefferson Park,1999,719,693
Jefferson Park,1997,706,691
Jefferson Park,1995,740,754
Jefferson Park,1993,736,757
Jefferson Park,1991,583,637
Jefferson Park,1989,548,572
Jefferson Park,1987,537,580
Jefferson Park,1985,434,433
Jefferson Park,1983,441,486
Jefferson Park,1979,804,0
Joliet,2018,776,783
Joliet,2018,220,174
Joliet,2016,768,734
Joliet,2016,209,182
Joliet,2014,866,954
Joliet,2014,244,191
Joliet,2006,1353,1322
Joliet,2002,1028,993
Joliet,1999,830,801
Joliet,1997,651,651
Joliet,1995,615,587
Joliet,1993,480,477
Joliet,1991,503,535
Joliet,1989,491,504
Joliet,1987,456,451
Joliet,1985,345,482
Joliet,1983,299,278
Joliet,1979,503,0
Kedzie,2018,41,76
Kedzie,2016,52,66
Kedzie,2014,56,101
Kedzie,2006,22,42
Kedzie,2002,36,32
Kedzie,1999,18,25
Kedzie,1997,44,38
Kedzie,1995,32,37
Kedzie,1993,42,16
Kedzie,1991,44,41
Kedzie,1989,38,36
Kedzie,1987,31,47
Kedzie,1985,33,46
Kedzie,1983,42,56
Kedzie,1979,91,0
Kenilworth,2018,501,511
Kenilworth,2016,500,463
Kenilworth,2014,305,269
Kenilworth,2006,408,392
Kenilworth,2002,435,414
Kenilworth,1999,480,460
Kenilworth,1997,505,468
Kenilworth,1995,446,437
Kenilworth,1993,468,442
Kenilworth,1991,533,462
Kenilworth,1989,456,448
Kenilworth,1987,532,491
Kenilworth,1985,470,418
Kenilworth,1983,444,433
Kenilworth,1979,700,0
Kenosha,2018,345,327
Kenosha,2016,276,307
Kenosha,2014,358,415
Kenosha,2006,431,411
Kenosha,2002,341,348
Kenosha,1999,301,300
Kenosha,1997,306,316
Kenosha,1995,264,267
Kenosha,1993,308,313
Kenosha,1991,296,269
Kenosha,1989,207,208
Kenosha,1987,208,208
Kenosha,1985,169,149
Kenosha,1983,142,146
Kenosha,1979,267,0
Kensington (115th Street),2018,1136,1043
Kensington (115th Street),2016,1120,1016
Kensington (115th Street),2014,1081,1061
Kensington (115th Street),2006,1628,1557
Kensington (115th Street),2002,1352,1394
Kensington (115th Street),1999,1399,1322
Kensington (115th Street),1997,1259,1216
Kensington (115th Street),1995,1072,1048
Kensington (115th Street),1993,1148,1132
Kensington (115th Street),1991,1188,1161
Kensington (115th Street),1989,1024,1104
Kensington (115th Street),1987,862,894
Kensington (115th Street),1985,796,775
Kensington (115th Street),1983,878,810
Kensington (115th Street),1979,1079,0
La Fox,2018,295,227
La Fox,2016,276,268
La Fox,2014,313,315
La Fox,2006,261,273
LaGrange Road,2018,1452,1532
LaGrange Road,2016,1340,1452
LaGrange Road,2014,1468,1452
LaGrange Road,2006,1352,1444
LaGrange Road,2002,1353,1385
LaGrange Road,1999,1496,1466
LaGrange Road,1997,1366,1421
LaGrange Road,1995,1388,1410
LaGrange Road,1993,1360,1418
LaGrange Road,1991,1423,1476
LaGrange Road,1989,1548,1547
LaGrange Road,1987,1567,1551
LaGrange Road,1985,1529,1469
LaGrange Road,1983,1496,1413
LaGrange Road,1979,1816,0
Lake Bluff,2018,647,641
Lake Bluff,2016,681,664
Lake Bluff,2014,626,661
Lake Bluff,2006,519,502
Lake Bluff,2002,504,517
Lake Bluff,1999,420,406
Lake Bluff,1997,425,423
Lake Bluff,1995,379,372
Lake Bluff,1993,390,386
Lake Bluff,1991,357,381
Lake Bluff,1989,328,340
Lake Bluff,1987,374,348
Lake Bluff,1985,302,302
Lake Bluff,1983,307,281
Lake Bluff,1979,348,0
Lake Cook Road,2018,1086,1193
Lake Cook Road,2016,1271,1350
Lake Cook Road,2014,1263,1288
Lake Cook Road,2006,1406,1506
Lake Cook Road,2002,1154,1224
Lake Cook Road,1999,1128,1149
Lake Cook Road,1997,740,771
Lake Forest,2018,747,719
Lake Forest,2016,717,703
Lake Forest,2014,727,734
Lake Forest,2006,725,690
Lake Forest,2002,726,720
Lake Forest,1999,689,687
Lake Forest,1997,661,632
Lake Forest,1995,652,625
Lake Forest,1993,721,714
Lake Forest,1991,700,666
Lake Forest,1989,753,705
Lake Forest,1987,729,707
Lake Forest,1985,715,647
Lake Forest,1983,644,632
Lake Forest,1979,999,0
Lake Forest (West),2018,607,682
Lake Forest (West),2016,548,589
Lake Forest (West),2014,570,623
Lake Forest (West),2006,578,616
Lake Forest (West),2002,576,572
Lake Forest (West),1999,717,753
Lake Forest (West),1997,608,615
Lake Forest (West),1995,674,660
Lake Forest (West),1993,680,682
Lake Forest (West),1991,522,474
Lake Forest (West),1989,408,383
Lake Forest (West),1987,325,310
Lake Forest (West),1985,249,278
Lake Forest (West),1983,193,183
Lake Forest (West),1979,265,0
Lake Villa,2018,130,120
Lake Villa,2016,148,129
Lake Villa,2014,176,166
Lake Villa,2006,150,141
Lake Villa,2002,143,120
Lake Villa,1999,108,100
Lake Villa,1997,87,87
Laraway Road,2018,19,20
Laraway Road,2016,24,27
Laraway Road,2014,27,11
Laraway Road,2006,11,12
LaSalle Street,2018,12606,12739
LaSalle Street,2016,12656,13020
LaSalle Street,2014,13239,13203
LaSalle Street,2006,17026,17138
LaSalle Street,2002,16868,16821
LaSalle Street,1999,16336,16169
LaSalle Street,1997,15002,15032
LaSalle Street,1995,14867,14774
LaSalle Street,1993,14877,14766
LaSalle Street,1991,14730,14404
LaSalle Street,1989,15018,15039
LaSalle Street,1987,13248,13637
LaSalle Street,1985,11464,11628
LaSalle Street,1983,10286,10115
LaSalle Street,1979,12704,0
LaVergne,2018,174,184
LaVergne,2016,187,203
LaVergne,2014,191,196
LaVergne,2006,159,160
LaVergne,2002,201,185
LaVergne,1999,229,235
LaVergne,1997,221,227
LaVergne,1995,227,191
LaVergne,1993,276,246
LaVergne,1991,254,240
LaVergne,1989,289,270
LaVergne,1987,346,285
LaVergne,1985,267,239
LaVergne,1983,235,209
LaVergne,1979,271,0
Lemont,2018,455,434
Lemont,2016,489,434
Lemont,2014,456,443
Lemont,2006,381,386
Lemont,2002,407,386
Lemont,1999,341,329
Lemont,1997,252,217
Lemont,1995,247,235
Lemont,1993,216,213
Lemont,1991,245,237
Lemont,1989,239,237
Lemont,1987,239,223
Lemont,1985,171,139
Lemont,1983,130,135
Lemont,1979,122,0
Libertyville,2018,801,753
Libertyville,2016,825,825
Libertyville,2014,826,881
Libertyville,2006,1169,1131
Libertyville,2002,1119,1123
Libertyville,1999,1118,1130
Libertyville,1997,1089,1107
Libertyville,1995,1222,1230
Libertyville,1993,1228,1204
Libertyville,1991,1139,1141
Libertyville,1989,1080,1061
Libertyville,1987,1010,944
Libertyville,1985,817,845
Libertyville,1983,702,718
Libertyville,1979,1084,0
Lisle,2018,1895,1727
Lisle,2016,1789,1908
Lisle,2014,1993,2021
Lisle,2006,2472,2329
Lisle,2002,2204,2171
Lisle,1999,2576,2528
Lisle,1997,2648,2654
Lisle,1995,2390,2374
Lisle,1993,2280,2335
Lisle,1991,2227,2246
Lisle,1989,2222,2151
Lisle,1987,2150,2333
Lisle,1985,2219,2256
Lisle,1983,2330,2176
Lisle,1979,2494,0
Load between Hegewisch and Hammond,1995,4255,4165
Load between Hegewisch and Hammond,1993,4085,4257
Load between Hegewisch and Hammond,1991,4640,4760
Load between Hegewisch and Hammond,1987,3756,3503
Load between Hegewisch and Hammond,1985,3456,3387
Load between Hegewisch and Hammond,1983,3091,3102
Lockport,2018,344,327
Lockport,2016,412,385
Lockport,2014,352,377
Lockport,2006,552,509
Lockport,2002,303,323
Lockport,1999,201,202
Lockport,1997,182,140
Lockport,1995,128,119
Lockport,1993,123,123
Lockport,1991,92,92
Lockport,1989,100,97
Lockport,1987,79,93
Lockport,1985,67,59
Lockport,1983,55,60
Lockport,1979,65,0
Lockport/5th,1987,17,20
Lockport/5th,1985,14,32
Lockport/5th,1983,26,11
Lockport/5th,1979,19,0
Lombard,2018,1502,1472
Lombard,2016,1343,1391
Lombard,2014,1321,1331
Lombard,2006,1281,1322
Lombard,2002,1213,1206
Lombard,1999,1269,1277
Lombard,1997,1285,1240
Lombard,1995,1211,1225
Lombard,1993,1261,1251
Lombard,1991,1123,1140
Lombard,1989,1146,1177
Lombard,1987,1385,1397
Lombard,1985,1360,1270
Lombard,1983,1418,1317
Lombard,1979,1686,0
Long Lake,2018,93,104
Long Lake,2016,96,84
Long Lake,2014,105,90
Long Lake,2006,133,123
Long Lake,2002,102,97
Long Lake,1999,83,83
Long Lake,1997,95,95
Long Lake,1995,58,67
Long Lake,1993,73,79
Long Lake,1991,93,91
Long Lake,1989,75,67
Long Lake,1987,59,52
Long Lake,1985,62,55
Long Lake,1983,45,43
Long Lake,1979,78,0
Longwood (95th Street),2018,3,58
Longwood (95th Street),2016,60,49
Longwood (95th Street),2014,85,129
Longwood (95th Street),2006,147,139
Longwood (95th Street),2002,133,128
Longwood (95th Street),1999,140,131
Longwood (95th Street),1997,111,115
Longwood (95th Street),1995,134,138
Longwood (95th Street),1993,127,121
Longwood (95th Street),1991,120,136
Longwood (95th Street),1989,103,114
Longwood (95th Street),1987,91,104
Longwood (95th Street),1985,54,49
Longwood (95th Street),1983,27,43
Longwood (95th Street),1979,61,0
Main Street (Downers Grove),2018,2492,2562
Main Street (Downers Grove),2016,2376,2518
Main Street (Downers Grove),2014,2473,2678
Main Street (Downers Grove),2006,2328,2372
Main Street (Downers Grove),2002,2371,2282
Main Street (Downers Grove),1999,2277,2234
Main Street (Downers Grove),1997,2205,2195
Main Street (Downers Grove),1995,2023,2053
Main Street (Downers Grove),1993,2021,1997
Main Street (Downers Grove),1991,2044,2060
Main Street (Downers Grove),1989,2261,2317
Main Street (Downers Grove),1987,2090,2049
Main Street (Downers Grove),1985,2051,2001
Main Street (Downers Grove),1983,1830,1816
Main Street (Downers Grove),1979,2529,0
Main Street (Evanston),2018,1130,1023
Main Street (Evanston),2016,1133,1129
Main Street (Evanston),2014,1093,1143
Main Street (Evanston),2006,869,873
Main Street (Evanston),2002,769,739
Main Street (Evanston),1999,933,930
Main Street (Evanston),1997,756,718
Main Street (Evanston),1995,773,712
Main Street (Evanston),1993,726,773
Main Street (Evanston),1991,820,858
Main Street (Evanston),1989,697,731
Main Street (Evanston),1987,667,658
Main Street (Evanston),1985,556,580
Main Street (Evanston),1983,481,529
Main Street (Evanston),1979,845,0
Manhattan,2018,19,18
Manhattan,2016,22,18
Manhattan,2014,29,23
Manhattan,2006,22,27
Mannheim,2018,35,47
Mannheim,2016,31,23
Mannheim,2014,30,12
Mannheim,2006,37,17
Mannheim,2002,13,14
Mannheim,1999,39,42
Mannheim,1997,32,37
Mannheim,1995,27,21
Mannheim,1993,48,68
Mannheim,1991,48,46
Mannheim,1989,38,36
Mannheim,1987,31,48
Mannheim,1985,45,49
Mannheim,1983,49,51
Mannheim,1979,68,0
Mars,2018,144,117
Mars,2016,142,110
Mars,2014,115,104
Mars,2006,110,102
Mars,2002,109,108
Mars,1999,128,111
Mars,1997,117,110
Mars,1995,132,131
Mars,1993,129,131
Mars,1991,117,129
Mars,1989,117,115
Mars,1987,114,94
Mars,1985,80,72
Mars,1983,75,77
Mars,1979,158,0
Matteson,2018,591,597
Matteson,2016,507,450
Matteson,2014,592,549
Matteson,2006,879,849
Matteson,2002,922,935
Matteson,1999,975,945
Matteson,1997,907,927
Matteson,1995,937,949
Matteson,1993,1079,1045
Matteson,1991,1068,1078
Matteson,1989,1372,1316
Matteson,1987,1492,1360
Matteson,1985,1295,1188
Matteson,1983,1080,910
Matteson,1979,1057,0
Mayfair,2018,281,307
Mayfair,2016,284,292
Mayfair,2014,340,346
Mayfair,2006,317,340
Mayfair,2002,254,265
Mayfair,1999,239,227
Mayfair,1997,154,176
Mayfair,1995,136,145
Mayfair,1993,136,121
Mayfair,1991,109,109
Mayfair,1989,72,98
Mayfair,1987,78,105
Mayfair,1985,66,74
Mayfair,1983,53,66
Mayfair,1979,135,0
Maywood,2018,87,69
Maywood,2016,82,70
Maywood,2014,81,82
Maywood,2006,97,93
Maywood,2002,93,99
Maywood,1999,84,89
Maywood,1997,95,95
Maywood,1995,132,131
Maywood,1993,117,123
Maywood,1991,88,91
Maywood,1989,73,79
Maywood,1987,115,111
Maywood,1985,96,94
Maywood,1983,87,71
Maywood,1979,117,0
McCormick Place,2018,124,145
McCormick Place,2016,108,115
McCormick Place,2014,92,85
McCormick Place,2006,137,149
McCormick Place,2002,118,125
McCormick Place,1999,750,603
McCormick Place,1997,1000,528
McCormick Place,1995,85,86
McCormick Place,1993,113,89
McCormick Place,1991,139,152
McCormick Place,1989,140,169
McCormick Place,1987,175,129
McCormick Place,1985,199,208
McCormick Place,1983,171,222
McCormick Place,1979,333,0
McHenry,2018,85,91
McHenry,2016,96,80
McHenry,2014,114,103
McHenry,2006,101,94
McHenry,2002,140,122
McHenry,1999,159,164
McHenry,1997,154,137
McHenry,1995,162,143
McHenry,1993,179,146
McHenry,1991,131,125
McHenry,1989,115,111
McHenry,1987,199,124
McHenry,1985,74,84
McHenry,1983,101,101
McHenry,1979,164,0
Medinah,2018,439,455
Medinah,2016,573,507
Medinah,2014,520,476
Medinah,2006,501,464
Medinah,2002,399,417
Medinah,1999,529,479
Medinah,1997,516,498
Medinah,1995,407,386
Medinah,1993,274,282
Medinah,1991,276,267
Medinah,1989,249,259
Medinah,1987,265,298
Medinah,1985,215,283
Medinah,1983,194,275
Medinah,1979,294,0
Melrose Park,2018,86,107
Melrose Park,2016,87,105
Melrose Park,2014,103,121
Melrose Park,2006,100,95
Melrose Park,2002,109,105
Melrose Park,1999,149,147
Melrose Park,1997,117,110
Melrose Park,1995,168,162
Melrose Park,1993,166,149
Melrose Park,1991,112,124
Melrose Park,1989,146,131
Melrose Park,1987,143,135
Melrose Park,1985,112,137
Melrose Park,1983,101,120
Melrose Park,1979,173,0
Midlothian,2018,938,890
Midlothian,2016,1015,1039
Midlothian,2014,950,964
Midlothian,2006,1230,1302
Midlothian,2002,1179,1217
Midlothian,1999,1144,1129
Midlothian,1997,1135,1145
Midlothian,1995,1262,1212
Midlothian,1993,1183,1210
Midlothian,1991,1218,1322
Midlothian,1989,1194,1215
Midlothian,1987,1133,1129
Midlothian,1985,1025,947
Midlothian,1983,864,865
Midlothian,1979,894,0
Millennium Station,2018,9292,8755
Millennium Station,2016,9798,9310
Millennium Station,2014,10353,9599
Millennium Station,2006,18247,16320
Millennium Station,2002,17896,16077
Millennium Station,1999,18605,17045
Millennium Station,1997,18504,17415
Millennium Station,1995,18242,16625
Millennium Station,1993,18589,16619
Millennium Station,1991,19727,17689
Millennium Station,1989,19399,18413
Millennium Station,1987,17509,16020
Millennium Station,1985,17815,15741
Millennium Station,1983,15292,12813
Millennium Station,1979,16519,0
Miller,2006,520,463
Miller,2002,449,426
Miller,1999,412,408
Miller,1997,368,399
Miller,1989,303,304
Mokena,2018,559,557
Mokena,2016,604,577
Mokena,2014,572,539
Mokena,2006,634,647
Mokena,2002,728,681
Mokena,1999,655,627
Mokena,1997,606,615
Mokena,1995,524,514
Mokena,1993,488,501
Mokena,1991,624,609
Mokena,1989,561,566
Mokena,1987,504,459
Mokena,1985,371,356
Mokena,1983,382,370
Mokena,1979,371,0
Mont Clare,2018,303,311
Mont Clare,2016,335,351
Mont Clare,2014,291,322
Mont Clare,2006,361,376
Mont Clare,2002,393,418
Mont Clare,1999,440,434
Mont Clare,1997,467,472
Mont Clare,1995,478,497
Mont Clare,1993,548,498
Mont Clare,1991,474,470
Mont Clare,1989,464,478
Mont Clare,1987,427,464
Mont Clare,1985,313,319
Mont Clare,1983,314,349
Mont Clare,1979,439,0
Morton Grove,2018,967,946
Morton Grove,2016,969,996
Morton Grove,2014,1054,978
Morton Grove,2006,966,965
Morton Grove,2002,943,900
Morton Grove,1999,989,991
Morton Grove,1997,825,823
Morton Grove,1995,772,762
Morton Grove,1993,710,705
Morton Grove,1991,672,701
Morton Grove,1989,539,536
Morton Grove,1987,583,571
Morton Grove,1985,538,499
Morton Grove,1983,451,443
Morton Grove,1979,752,0
Mount Prospect,2018,1879,1782
Mount Prospect,2016,1816,1883
Mount Prospect,2014,1774,1743
Mount Prospect,2006,1590,1569
Mount Prospect,2002,1655,1618
Mount Prospect,1999,1804,1793
Mount Prospect,1997,1754,1727
Mount Prospect,1995,1899,1907
Mount Prospect,1993,2055,2056
Mount Prospect,1991,2073,2077
Mount Prospect,1989,2147,2084
Mount Prospect,1987,2253,2243
Mount Prospect,1985,2220,2091
Mount Prospect,1983,2146,2134
Mount Prospect,1979,2933,0
Mundelein,2018,276,294
Mundelein,2016,277,265
Mundelein,2014,304,290
Mundelein,2006,283,261
Mundelein,2002,235,227
Mundelein,1999,227,221
Mundelein,1997,223,213
Naperville,2018,4015,3726
Naperville,2016,4107,4209
Naperville,2014,4002,4099
Naperville,2006,4112,4065
Naperville,2002,3734,3784
Naperville,1999,4040,3857
Naperville,1997,3516,3567
Naperville,1995,3271,3228
Naperville,1993,3196,3149
Naperville,1991,3150,3311
Naperville,1989,3510,3485
Naperville,1987,3791,3664
Naperville,1985,3251,3177
Naperville,1983,2571,2399
Naperville,1979,3033,0
National Street,2018,584,581
National Street,2016,642,674
National Street,2014,700,657
National Street,2006,742,746
National Street,2002,551,537
National Street,1999,618,588
National Street,1997,559,554
National Street,1995,562,548
National Street,1993,439,414
National Street,1991,421,430
National Street,1989,255,279
National Street,1987,183,206
National Street,1985,222,227
National Street,1983,132,143
National Street,1979,362,0
New Lenox,2018,1046,1035
New Lenox,2016,1115,954
New Lenox,2014,1146,1100
New Lenox,2006,1348,1321
New Lenox,2002,1076,1028
New Lenox,1999,897,905
New Lenox,1997,861,848
New Lenox,1995,823,817
New Lenox,1993,732,702
New Lenox,1991,646,651
New Lenox,1989,605,614
New Lenox,1987,562,515
New Lenox,1985,360,360
New Lenox,1983,301,292
New Lenox,1979,313,0
North Chicago,2018,170,177
North Chicago,2016,170,188
North Chicago,2014,232,218
North Chicago,2006,191,177
North Chicago,2002,190,208
North Chicago,1999,200,200
North Chicago,1997,220,216
North Chicago,1995,192,187
North Chicago,1993,139,149
North Chicago,1991,165,185
North Chicago,1989,179,179
North Chicago,1987,145,148
North Chicago,1985,158,178
North Chicago,1983,175,161
North Chicago,1979,227,0
North Glenview,2018,1163,1124
North Glenview,2016,1070,1113
North Glenview,2014,1097,1120
North Glenview,2006,770,813
North Glenview,2002,448,424
Northbrook,2018,1259,1271
Northbrook,2016,1392,1270
Northbrook,2014,1334,1273
Northbrook,2006,1323,1262
Northbrook,2002,1349,1257
Northbrook,1999,1505,1477
Northbrook,1997,1459,1435
Northbrook,1995,1546,1541
Northbrook,1993,1612,1571
Northbrook,1991,1458,1455
Northbrook,1989,1430,1371
Northbrook,1987,1361,1247
Northbrook,1985,1406,1354
Northbrook,1983,1213,1243
Northbrook,1979,1681,0
Norwood Park,2018,365,374
Norwood Park,2016,359,311
Norwood Park,2014,350,346
Norwood Park,2006,289,332
Norwood Park,2002,269,262
Norwood Park,1999,329,298
Norwood Park,1997,273,276
Norwood Park,1995,320,328
Norwood Park,1993,307,318
Norwood Park,1991,239,242
Norwood Park,1989,244,233
Norwood Park,1987,170,207
Norwood Park,1985,195,193
Norwood Park,1983,218,215
Norwood Park,1979,458,0
Oak Forest,2018,1091,996
Oak Forest,2016,1136,967
Oak Forest,2014,1141,1151
Oak Forest,2006,1487,1390
Oak Forest,2002,1591,1569
Oak Forest,1999,1672,1628
Oak Forest,1997,1594,1575
Oak Forest,1995,1508,1468
Oak Forest,1993,1422,1447
Oak Forest,1991,1447,1472
Oak Forest,1989,1495,1479
Oak Forest,1987,1570,1530
Oak Forest,1985,1299,1263
Oak Forest,1983,1019,1076
Oak Forest,1979,1138,0
Oak Lawn,2018,1186,1248
Oak Lawn,2016,1329,1329
Oak Lawn,2014,1246,1266
Oak Lawn,2006,1157,1121
Oak Lawn,2002,788,819
Oak Lawn,1999,756,842
Oak Lawn,1997,701,716
Oak Lawn,1995,713,754
Oak Lawn,1993,727,717
Oak Lawn,1991,793,802
Oak Lawn,1989,813,846
Oak Lawn,1987,704,718
Oak Lawn,1985,486,477
Oak Lawn,1983,443,435
Oak Lawn,1979,605,0
Oak Park (Marion Street),2018,991,1106
Oak Park (Marion Street),2016,905,1148
Oak Park (Marion Street),2014,1129,1213
Oak Park (Marion Street),2006,1025,1082
Oak Park (Marion Street),2002,960,1020
Oak Park (Marion Street),1999,1038,1133
Oak Park (Marion Street),1997,1237,1284
Oak Park (Marion Street),1995,1910,1940
Oak Park (Marion Street),1993,1307,1321
Oak Park (Marion Street),1991,1032,1084
Oak Park (Marion Street),1989,841,1052
Oak Park (Marion Street),1987,566,656
Oak Park (Marion Street),1985,374,535
Oak Park (Marion Street),1983,344,430
Oak Park (Marion Street),1979,479,0
Ogden Dunes,2006,217,249
Ogden Dunes,2002,218,216
Ogden Dunes,1999,225,260
Ogden Dunes,1997,244,267
Ogden Dunes,1989,241,212
Ogilvie Transportation Center,2018,42500,43796
Ogilvie Transportation Center,2016,42412,42120
Ogilvie Transportation Center,2014,39552,40254
Ogilvie Transportation Center,2006,37564,37783
Ogilvie Transportation Center,2002,36731,36827
Ogilvie Transportation Center,1999,39195,39106
Ogilvie Transportation Center,1997,38737,38948
Ogilvie Transportation Center,1995,39708,39929
Ogilvie Transportation Center,1993,39963,40185
Ogilvie Transportation Center,1991,39145,39011
Ogilvie Transportation Center,1989,38730,39133
Ogilvie Transportation Center,1987,37522,38425
Ogilvie Transportation Center,1985,33259,34143
Ogilvie Transportation Center,1983,32943,33482
Ogilvie Transportation Center,1979,44694,0
O'Hare Transfer,2018,113,128
O'Hare Transfer,2016,123,158
O'Hare Transfer,2014,144,171
O'Hare Transfer,2006,106,141
O'Hare Transfer,2002,55,74
O'Hare Transfer,1999,83,91
O'Hare Transfer,1997,68,71
Olympia Fields,2018,679,695
Olympia Fields,2016,643,665
Olympia Fields,2014,665,614
Olympia Fields,2006,473,452
Olympia Fields,2002,186,219
Olympia Fields,1999,204,219
Olympia Fields,1997,206,214
Olympia Fields,1995,255,243
Olympia Fields,1993,243,223
Olympia Fields,1991,247,278
Olympia Fields,1989,310,335
Olympia Fields,1987,338,351
Olympia Fields,1985,405,380
Olympia Fields,1983,265,273
Olympia Fields,1979,280,0
Palatine,2018,2482,2367
Palatine,2016,2378,2364
Palatine,2014,2334,2307
Palatine,2006,2105,2035
Palatine,2002,1894,1874
Palatine,1999,2091,2075
Palatine,1997,2092,2077
Palatine,1995,1957,1928
Palatine,1993,2092,2046
Palatine,1991,2010,1994
Palatine,1989,2104,2042
Palatine,1987,1919,1837
Palatine,1985,1586,1541
Palatine,1983,1632,1543
Palatine,1979,2343,0
Palos Heights,2018,232,241
Palos Heights,2016,238,230
Palos Heights,2014,254,246
Palos Heights,2006,281,263
Palos Park,2018,424,423
Palos Park,2016,432,430
Palos Park,2014,418,435
Palos Park,2006,387,364
Palos Park,2002,214,211
Palos Park,1999,273,247
Palos Park,1997,204,208
Palos Park,1995,213,211
Palos Park,1993,190,196
Palos Park,1991,188,194
Palos Park,1989,223,193
Palos Park,1987,151,137
Palos Park,1985,111,98
Palos Park,1983,63,62
Palos Park,1979,111,0
Park Ridge,2018,1168,1185
Park Ridge,2016,1043,1066
Park Ridge,2014,954,933
Park Ridge,2006,897,854
Park Ridge,2002,932,874
Park Ridge,1999,922,928
Park Ridge,1997,874,855
Park Ridge,1995,820,796
Park Ridge,1993,900,882
Park Ridge,1991,818,831
Park Ridge,1989,917,865
Park Ridge,1987,801,761
Park Ridge,1985,850,772
Park Ridge,1983,908,859
Park Ridge,1979,1639,0
Pingree Rd.,2018,707,718
Pingree Rd.,2016,751,760
Pingree Rd.,2014,744,697
Pingree Rd.,2006,581,601
Prairie Crossing,2018,368,397
Prairie Crossing,2016,422,436
Prairie Crossing,2014,451,468
Prairie Crossing,2006,344,363
Prairie Crossing (Libertyville),2018,87,113
Prairie Crossing (Libertyville),2016,102,108
Prairie Crossing (Libertyville),2014,125,138
Prairie Crossing (Libertyville),2006,117,85
Prairie Crossing (Libertyville),2002,76,81
Prairie Crossing (Libertyville),1999,54,54
Prairie Crossing (Libertyville),1997,38,40
Prairie Street,2018,30,24
Prairie Street,2016,20,37
Prairie Street,2014,46,34
Prairie Street,2006,44,45
Prairie Street,2002,43,56
Prairie Street,1999,41,45
Prairie Street,1997,59,53
Prairie Street,1995,65,63
Prairie Street,1993,70,70
Prairie Street,1991,85,73
Prairie Street,1989,91,102
Prairie Street,1987,90,90
Prairie Street,1985,82,80
Prairie Street,1983,79,87
Prairie Street,1979,113,0
Prairie View,2018,415,437
Prairie View,2016,388,376
Prairie View,2014,345,362
Prairie View,2006,299,258
Prairie View,2002,255,239
Prairie View,1999,232,238
Prairie View,1997,217,210
Prospect Heights,2018,304,272
Prospect Heights,2016,266,282
Prospect Heights,2014,277,302
Prospect Heights,2006,245,266
Prospect Heights,2002,240,193
Prospect Heights,1999,228,216
Prospect Heights,1997,192,195
Racine Avenue,2018,28,24
Racine Avenue,2016,31,37
Racine Avenue,2014,33,27
Racine Avenue,2006,53,76
Racine Avenue,2002,43,41
Racine Avenue,1999,84,89
Racine Avenue,1997,85,84
Racine Avenue,1995,76,69
Racine Avenue,1993,64,66
Racine Avenue,1991,63,85
Racine Avenue,1989,71,61
Racine Avenue,1987,42,37
Racine Avenue,1985,32,48
Racine Avenue,1983,41,32
Racine Avenue,1979,98,0
Ravenswood,2018,2630,2545
Ravenswood,2016,2721,2752
Ravenswood,2014,2363,2089
Ravenswood,2006,1940,1811
Ravenswood,2002,1455,1373
Ravenswood,1999,1246,1194
Ravenswood,1997,914,844
Ravenswood,1995,878,789
Ravenswood,1993,747,688
Ravenswood,1991,663,593
Ravenswood,1989,562,564
Ravenswood,1987,511,431
Ravenswood,1985,353,311
Ravenswood,1983,307,305
Ravenswood,1979,562,0
Ravinia,2018,326,249
Ravinia,2016,295,305
Ravinia,2014,238,212
Ravinia,2006,332,319
Ravinia,2002,330,333
Ravinia,1999,347,348
Ravinia,1997,362,362
Ravinia,1995,416,390
Ravinia,1993,327,299
Ravinia,1991,346,288
Ravinia,1989,386,371
Ravinia,1987,366,345
Ravinia,1985,339,310
Ravinia,1983,366,292
Ravinia,1979,432,0
Richmond,1979,9,0
Richton Park,2018,1059,915
Richton Park,2016,1179,1146
Richton Park,2014,1315,1172
Richton Park,2006,1625,1686
Richton Park,2002,1579,1587
Richton Park,1999,1665,1648
Richton Park,1997,1716,1726
Richton Park,1995,1651,1631
Richton Park,1993,1685,1637
Richton Park,1991,1607,1609
Richton Park,1989,1680,1522
Richton Park,1987,1619,1548
Richton Park,1985,1586,1404
Richton Park,1983,1140,1247
Richton Park,1979,1690,0
Ringwood,1979,8,0
River Forest,2018,448,441
River Forest,2016,438,532
River Forest,2014,434,366
River Forest,2006,367,363
River Forest,2002,390,374
River Forest,1999,406,411
River Forest,1997,375,370
River Forest,1995,407,423
River Forest,1993,327,361
River Forest,1991,292,296
River Forest,1989,270,300
River Forest,1987,192,191
River Forest,1985,146,84
River Forest,1983,127,104
River Forest,1979,131,0
